"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",97.70081,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",97.79533,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",97.8284,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",97.74784,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",97.64878,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",97.59455,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",97.62916,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",97.62962,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",97.58865,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",97.6431,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",97.88409,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",98.24488,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",98.60607,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",98.92529,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",99.10682,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",99.17281,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",99.11063,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",99.06652,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",99.06157,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",99.23779,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",99.48797,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",99.68343,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",99.82769,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.83222,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.71832,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.4107,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.16868,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.17258,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.33298,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.34444,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.33305,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",99.38327,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",99.54932,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",99.74732,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",99.96424,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.0599,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.0117,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",99.93446,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",99.98396,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.2616,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.7356,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.2235,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.2353,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.9566,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.7182,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.7258,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.9531,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.0755,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",100.9651,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",100.7118,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",100.5031,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",100.2715,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.0478,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",99.84599,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",99.71423,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-08",99.47479,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-09",99.11562,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-10",98.79891,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-11",98.35474,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-12",98.08826,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-01",98.35833,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-02",98.80537,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.1488,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.37463,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.62299,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.87557,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.169,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.4001,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.6089,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.6328,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.5036,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.2212,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.96935,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.59084,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",98.78105,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.95719,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.88514,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.31065,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.69498,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.88564,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.8476,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.50138,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.19388,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.32332,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.34846,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-02",98.5922,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.26431,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-04",100.0446,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-05",100.738,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-06",101.1577,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-07",101.1243,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-08",100.9984,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-09",101.0211,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.8919,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-11",100.7272,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2021-12",100.4968,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-01",100.3038,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2022-02",100.2117,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.67747,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.83373,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.0616,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.2696,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.3893,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.3932,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.3068,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.2028,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.1104,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.0737,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.0786,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.2002,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.3978,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.6039,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.7516,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.8017,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.7453,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.6797,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.6019,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.599,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.679,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.8791,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-11",101.1085,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2015-12",101.2226,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-01",101.1278,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.9096,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.7314,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.6698,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.6547,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.6239,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.5785,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.6673,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.8147,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.9138,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.9105,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.8561,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.7936,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.7397,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.7908,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.9106,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.0441,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.1457,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.2339,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.2947,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.3433,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.3872,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.4285,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.4895,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.5385,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.5278,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.4666,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.406,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.3727,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.3511,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.3068,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.1396,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.903,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.702,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.5265,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.3696,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.3195,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.3561,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.4111,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.4311,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.4395,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.4416,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.4285,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.3546,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.3013,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.2756,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.3248,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.3586,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.2937,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.93833,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.10247,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.1241,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.85551,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.11879,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.41599,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.54914,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.52161,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.33759,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.21304,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.37302,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.60806,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.04359,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.66992,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-04",100.266,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-05",100.7711,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-06",101.0716,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-07",101.1093,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-08",101.0095,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-09",100.8279,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.5098,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-11",100.1171,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2021-12",99.77029,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-01",99.49502,
"OECDE","CCI","AMPLITUD","LTRENDIDX","M","2022-02",99.22036,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.54726,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.60332,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.70119,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.82313,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.8857,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.8965,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.8642,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.85064,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.8735,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.94295,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.0612,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.2584,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4544,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.5659,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.606,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.6013,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.5383,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.4912,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.3821,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.2953,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.274,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.4006,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.5567,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.608,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.5197,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.3809,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.2941,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2933,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3566,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.3512,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.2767,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.2714,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.3175,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.3632,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.4429,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.5022,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.4895,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.5015,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.5904,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.6998,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.7863,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.8257,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.8733,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.9503,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.0326,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.1279,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.156,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.1485,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.1511,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.1772,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.1868,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.1688,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.1663,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.1843,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.2059,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.1488,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.0597,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.9435,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.8148,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.7151,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.6711,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.7428,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.8293,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.8455,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.8178,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.724,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.5907,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.4287,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.4029,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.4744,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.6212,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.734,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.6701,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.182,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.10699,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.94038,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.54049,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-06",97.70229,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-07",97.95058,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.19406,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.411,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.4861,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.47776,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.57647,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.71801,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.03592,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.52718,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-04",99.93105,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-05",100.1867,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-06",100.3123,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-07",100.1882,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-08",99.93813,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-09",99.77771,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-10",99.61159,
