,DE_LU_COALGAS,IT_NORD_COALGAS,ES_COALGAS
2019-01-01,44177.0,323.0,0.0
2019-01-02,40149.0,265.0,0.0
2019-01-03,40740.0,307.0,0.0
2019-01-04,43051.0,305.0,0.0
2019-01-05,45879.0,352.0,0.0
2019-01-06,45677.0,351.0,0.0
2019-01-07,48191.0,305.0,0.0
2019-01-08,44555.0,310.0,0.0
2019-01-09,29904.0,301.0,0.0
2019-01-10,31862.0,295.0,0.0
2019-01-11,43565.0,300.0,0.0
2019-01-12,46982.0,342.0,0.0
2019-01-13,49609.0,348.0,0.0
2019-01-14,53449.0,301.0,0.0
2019-01-15,49234.0,305.0,0.0
2019-01-16,46673.0,301.0,0.0
2019-01-17,44226.0,296.0,0.0
2019-01-18,38471.0,294.0,0.0
2019-01-19,42371.0,341.0,0.0
2019-01-20,45222.0,342.0,0.0
2019-01-21,41717.0,285.0,0.0
2019-01-22,38549.0,301.0,0.0
2019-01-23,37136.0,294.0,0.0
2019-01-24,41065.0,286.0,0.0
2019-01-25,44482.0,299.0,0.0
2019-01-26,37822.0,340.0,0.0
2019-01-27,46667.0,332.0,0.0
2019-01-28,41617.0,312.0,0.0
2019-01-29,30305.0,288.0,0.0
2019-01-30,28591.0,301.0,0.0
2019-01-31,26945.0,312.0,0.0
2019-02-01,28948.0,320.0,0.0
2019-02-02,41659.0,318.0,0.0
2019-02-03,36919.0,328.0,0.0
2019-02-04,50154.0,300.0,0.0
2019-02-05,40882.0,277.0,0.0
2019-02-06,35812.0,258.0,0.0
2019-02-07,44252.0,300.0,0.0
2019-02-08,45094.0,287.0,0.0
2019-02-09,47537.0,333.0,0.0
2019-02-10,37841.0,346.0,0.0
2019-02-11,32476.0,307.0,0.0
2019-02-12,37638.0,319.0,0.0
2019-02-13,37269.0,300.0,0.0
2019-02-14,37486.0,297.0,0.0
2019-02-15,35364.0,312.0,0.0
2019-02-16,42396.0,343.0,0.0
2019-02-17,41104.0,365.0,0.0
2019-02-18,43732.0,330.0,0.0
2019-02-19,42900.0,326.0,0.0
2019-02-20,40689.0,326.0,0.0
2019-02-21,41870.0,324.0,0.0
2019-02-22,41909.0,320.0,0.0
2019-02-23,34073.0,334.0,0.0
2019-02-24,42573.0,335.0,0.0
2019-02-25,42569.0,305.0,0.0
2019-02-26,40967.0,297.0,0.0
2019-02-27,29309.0,309.0,0.0
2019-02-28,32992.0,313.0,0.0
2019-03-01,33900.0,308.0,0.0
2019-03-02,34409.0,339.0,0.0
2019-03-03,37632.0,349.0,0.0
2019-03-04,43870.0,319.0,0.0
2019-03-05,44258.0,329.0,0.0
2019-03-06,37049.0,312.0,0.0
2019-03-07,40461.0,314.0,0.0
2019-03-08,38791.0,280.0,0.0
2019-03-09,39658.0,327.0,0.0
2019-03-10,39227.0,346.0,0.0
2019-03-11,23415.0,315.0,0.0
2019-03-12,32934.0,294.0,0.0
2019-03-13,39395.0,310.0,0.0
2019-03-14,37718.0,317.0,0.0
2019-03-15,31856.0,317.0,0.0
2019-03-16,37778.0,322.0,0.0
2019-03-17,38752.0,345.0,0.0
2019-03-18,38692.0,307.0,0.0
2019-03-19,35941.0,310.0,0.0
2019-03-20,39964.0,326.0,0.0
2019-03-21,40736.0,317.0,0.0
2019-03-22,43825.0,309.0,0.0
2019-03-23,40328.0,364.0,0.0
2019-03-24,39776.0,351.0,0.0
2019-03-25,45696.0,320.0,0.0
2019-03-26,43104.0,336.0,0.0
2019-03-27,25058.0,318.0,0.0
2019-03-28,25379.0,323.0,0.0
2019-03-29,23750.0,327.0,0.0
2019-03-30,27091.0,336.0,0.0
2019-03-31,27860.0,342.0,0.0
2019-04-01,27759.0,304.0,0.0
2019-04-02,32400.0,337.0,0.0
2019-04-03,34458.0,303.0,0.0
2019-04-04,28648.0,306.0,0.0
2019-04-05,34783.0,268.0,0.0
2019-04-06,42546.0,326.0,0.0
2019-04-07,46502.0,339.0,0.0
2019-04-08,36751.0,288.0,0.0
2019-04-09,36443.0,308.0,0.0
2019-04-10,37868.0,318.0,0.0
2019-04-11,40785.0,351.0,0.0
2019-04-12,39847.0,349.0,0.0
2019-04-13,41902.0,368.0,0.0
2019-04-14,39400.0,312.0,0.0
2019-04-15,45304.0,360.0,0.0
2019-04-16,44303.0,350.0,0.0
2019-04-17,37642.0,330.0,0.0
2019-04-18,40811.0,339.0,0.0
2019-04-19,39554.0,368.0,0.0
2019-04-20,36789.0,362.0,0.0
2019-04-21,38330.0,346.0,0.0
2019-04-22,34929.0,368.0,0.0
2019-04-23,39309.0,320.0,0.0
2019-04-24,30243.0,265.0,0.0
2019-04-25,30438.0,329.0,0.0
2019-04-26,30141.0,332.0,0.0
2019-04-27,37393.0,347.0,0.0
2019-04-28,39100.0,370.0,0.0
2019-04-29,39084.0,305.0,0.0
2019-04-30,36764.0,311.0,0.0
2019-05-01,36119.0,346.0,0.0
2019-05-02,34752.0,265.0,0.0
2019-05-03,36855.0,297.0,0.0
2019-05-04,35246.0,366.0,0.0
2019-05-05,38856.0,346.0,0.0
2019-05-06,35152.0,336.0,0.0
2019-05-07,34877.0,346.0,0.0
2019-05-08,34607.0,354.0,0.0
2019-05-09,35094.0,343.0,0.0
2019-05-10,31006.0,342.0,0.0
2019-05-11,34666.0,349.0,0.0
2019-05-12,36248.0,368.0,0.0
2019-05-13,35742.0,352.0,0.0
2019-05-14,37314.0,368.0,0.0
2019-05-15,14690.0,366.0,0.0
2019-05-16,19541.0,370.0,0.0
2019-05-17,26597.0,383.0,0.0
2019-05-18,32080.0,384.0,0.0
2019-05-19,34047.0,387.0,0.0
2019-05-20,29797.0,363.0,0.0
2019-05-21,27367.0,340.0,0.0
2019-05-22,22152.0,382.0,0.0
2019-05-23,24600.0,369.0,0.0
2019-05-24,34076.0,370.0,0.0
2019-05-25,34509.0,371.0,0.0
2019-05-26,26714.0,375.0,0.0
2019-05-27,30816.0,353.0,0.0
2019-05-28,30953.0,357.0,0.0
2019-05-29,30876.0,352.0,0.0
2019-05-30,25986.0,358.0,0.0
2019-05-31,28375.0,352.0,0.0
2019-06-01,29038.0,378.0,0.0
2019-06-02,32633.0,381.0,0.0
2019-06-03,30441.0,362.0,0.0
2019-06-04,32916.0,363.0,0.0
2019-06-05,29985.0,338.0,0.0
2019-06-06,32360.0,328.0,0.0
2019-06-07,31024.0,314.0,0.0
2019-06-08,35211.0,357.0,0.0
2019-06-09,34914.0,364.0,0.0
2019-06-10,35164.0,307.0,0.0
2019-06-11,36258.0,309.0,0.0
2019-06-12,33920.0,304.0,0.0
2019-06-13,38294.0,286.0,0.0
2019-06-14,35006.0,301.0,0.0
2019-06-15,34207.0,332.0,0.0
2019-06-16,27696.0,336.0,0.0
2019-06-17,34373.0,304.0,0.0
2019-06-18,20842.0,289.0,0.0
2019-06-19,22043.0,299.0,0.0
2019-06-20,31841.0,299.0,0.0
2019-06-21,34889.0,307.0,0.0
2019-06-22,34496.0,301.0,0.0
2019-06-23,34465.0,324.0,0.0
2019-06-24,29896.0,300.0,0.0
2019-06-25,33684.0,247.0,0.0
2019-06-26,27159.0,259.0,0.0
2019-06-27,33911.0,235.0,0.0
2019-06-28,31136.0,265.0,0.0
2019-06-29,36200.0,296.0,0.0
2019-06-30,34061.0,280.0,0.0
2019-07-01,35915.0,261.0,0.0
2019-07-02,36796.0,246.0,0.0
2019-07-03,29408.0,245.0,0.0
2019-07-04,30121.0,260.0,0.0
2019-07-05,27861.0,274.0,0.0
2019-07-06,26751.0,276.0,0.0
2019-07-07,33252.0,294.0,0.0
2019-07-08,41921.0,275.0,0.0
2019-07-09,27310.0,283.0,0.0
2019-07-10,30997.0,244.0,0.0
2019-07-11,30320.0,246.0,0.0
2019-07-12,36300.0,269.0,0.0
2019-07-13,34208.0,311.0,0.0
2019-07-14,34588.0,312.0,0.0
2019-07-15,37345.0,302.0,0.0
2019-07-16,29298.0,299.0,0.0
2019-07-17,27290.0,278.0,0.0
2019-07-18,20861.0,300.0,0.0
2019-07-19,27593.0,307.0,0.0
2019-07-20,24441.0,300.0,0.0
2019-07-21,29187.0,309.0,0.0
2019-07-22,35287.0,290.0,0.0
2019-07-23,38274.0,286.0,0.0
2019-07-24,31123.0,289.0,0.0
2019-07-25,39322.0,278.0,0.0
2019-07-26,37992.0,274.0,0.0
2019-07-27,39560.0,270.0,0.0
2019-07-28,35514.0,280.0,0.0
2019-07-29,36678.0,255.0,0.0
2019-07-30,31958.0,271.0,0.0
2019-07-31,37755.0,283.0,0.0
2019-08-01,34338.0,288.0,0.0
2019-08-02,31279.0,295.0,0.0
2019-08-03,39963.0,298.0,0.0
2019-08-04,39620.0,277.0,0.0
2019-08-05,45599.0,277.0,0.0
2019-08-06,28926.0,253.0,0.0
2019-08-07,0.0,242.0,0.0
2019-08-08,0.0,268.0,0.0
2019-08-09,0.0,263.0,0.0
2019-08-10,0.0,290.0,0.0
2019-08-11,0.0,269.0,0.0
2019-08-12,0.0,243.0,0.0
2019-08-13,0.0,263.0,0.0
2019-08-14,0.0,285.0,0.0
2019-08-15,0.0,311.0,0.0
2019-08-16,0.0,295.0,0.0
2019-08-17,0.0,311.0,0.0
2019-08-18,0.0,311.0,0.0
2019-08-19,0.0,277.0,0.0
2019-08-20,0.0,290.0,0.0
2019-08-21,0.0,286.0,0.0
2019-08-22,0.0,273.0,0.0
2019-08-23,0.0,275.0,0.0
2019-08-24,0.0,306.0,0.0
2019-08-25,0.0,313.0,0.0
2019-08-26,0.0,287.0,0.0
2019-08-27,0.0,268.0,0.0
2019-08-28,0.0,246.0,0.0
2019-08-29,0.0,260.0,0.0
2019-08-30,0.0,285.0,0.0
2019-08-31,0.0,312.0,0.0
2019-09-01,0.0,304.0,0.0
2019-09-02,0.0,291.0,0.0
2019-09-03,0.0,274.0,0.0
2019-09-04,0.0,270.0,0.0
2019-09-05,0.0,274.0,0.0
2019-09-06,0.0,274.0,0.0
2019-09-07,0.0,322.0,0.0
2019-09-08,0.0,223.0,0.0
2019-09-09,0.0,226.0,0.0
2019-09-10,0.0,250.0,0.0
2019-09-11,0.0,264.0,0.0
2019-09-12,0.0,278.0,0.0
2019-09-13,0.0,248.0,0.0
2019-09-14,0.0,288.0,0.0
2019-09-15,0.0,291.0,0.0
2019-09-16,0.0,275.0,0.0
2019-09-17,0.0,278.0,0.0
2019-09-18,0.0,276.0,0.0
2019-09-19,0.0,231.0,0.0
2019-09-20,0.0,266.0,0.0
2019-09-21,0.0,293.0,0.0
2019-09-22,0.0,293.0,0.0
2019-09-23,0.0,266.0,0.0
2019-09-24,0.0,269.0,0.0
2019-09-25,0.0,283.0,0.0
2019-09-26,0.0,286.0,0.0
2019-09-27,0.0,277.0,0.0
2019-09-28,0.0,293.0,0.0
2019-09-29,0.0,289.0,0.0
2019-09-30,0.0,263.0,0.0
2019-10-01,0.0,244.0,0.0
2019-10-02,0.0,290.0,0.0
2019-10-03,0.0,269.0,0.0
2019-10-04,0.0,264.0,0.0
2019-10-05,0.0,290.0,0.0
2019-10-06,0.0,297.0,0.0
2019-10-07,0.0,274.0,0.0
2019-10-08,0.0,276.0,0.0
2019-10-09,0.0,273.0,0.0
2019-10-10,0.0,266.0,0.0
2019-10-11,0.0,273.0,0.0
2019-10-12,0.0,318.0,0.0
2019-10-13,0.0,301.0,0.0
2019-10-14,0.0,294.0,0.0
2019-10-15,0.0,284.0,0.0
2019-10-16,0.0,258.0,0.0
2019-10-17,0.0,239.0,0.0
2019-10-18,0.0,268.0,0.0
2019-10-19,0.0,283.0,0.0
2019-10-20,0.0,264.0,0.0
2019-10-21,0.0,219.0,0.0
2019-10-22,0.0,189.0,0.0
2019-10-23,0.0,261.0,0.0
2019-10-24,0.0,278.0,0.0
2019-10-25,0.0,287.0,0.0
2019-10-26,0.0,317.0,0.0
2019-10-27,0.0,315.0,0.0
2019-10-28,0.0,291.0,0.0
2019-10-29,0.0,295.0,0.0
2019-10-30,0.0,299.0,0.0
2019-10-31,0.0,303.0,0.0
2019-11-01,0.0,313.0,0.0
2019-11-02,0.0,322.0,0.0
2019-11-03,0.0,298.0,0.0
2019-11-04,0.0,264.0,0.0
2019-11-05,0.0,267.0,0.0
2019-11-06,0.0,265.0,0.0
2019-11-07,0.0,240.0,0.0
2019-11-08,0.0,256.0,0.0
2019-11-09,0.0,275.0,0.0
2019-11-10,0.0,287.0,0.0
2019-11-11,0.0,251.0,0.0
2019-11-12,0.0,235.0,0.0
2019-11-13,0.0,246.0,0.0
2019-11-14,0.0,249.0,0.0
2019-11-15,0.0,188.0,0.0
2019-11-16,0.0,267.0,0.0
2019-11-17,0.0,263.0,0.0
2019-11-18,0.0,206.0,0.0
2019-11-19,0.0,213.0,0.0
2019-11-20,0.0,241.0,0.0
2019-11-21,0.0,242.0,0.0
2019-11-22,0.0,261.0,0.0
2019-11-23,0.0,247.0,0.0
2019-11-24,0.0,228.0,0.0
2019-11-25,0.0,236.0,0.0
2019-11-26,0.0,217.0,0.0
2019-11-27,0.0,222.0,0.0
2019-11-28,0.0,230.0,0.0
2019-11-29,0.0,225.0,0.0
2019-11-30,0.0,261.0,0.0
2019-12-01,0.0,254.0,0.0
2019-12-02,0.0,221.0,0.0
2019-12-03,0.0,153.0,0.0
2019-12-04,0.0,53.0,0.0
2019-12-05,0.0,222.0,0.0
2019-12-06,0.0,251.0,0.0
2019-12-07,0.0,257.0,0.0
2019-12-08,0.0,282.0,0.0
2019-12-09,0.0,283.0,0.0
2019-12-10,0.0,287.0,0.0
2019-12-11,0.0,289.0,0.0
2019-12-12,0.0,262.0,0.0
2019-12-13,0.0,250.0,0.0
2019-12-14,0.0,299.0,0.0
2019-12-15,0.0,302.0,0.0
2019-12-16,0.0,279.0,0.0
2019-12-17,0.0,262.0,0.0
2019-12-18,0.0,265.0,0.0
2019-12-19,0.0,259.0,0.0
2019-12-20,0.0,260.0,0.0
2019-12-21,0.0,304.0,0.0
2019-12-22,0.0,298.0,0.0
2019-12-23,0.0,269.0,0.0
2019-12-24,0.0,284.0,0.0
2019-12-25,0.0,297.0,0.0
2019-12-26,0.0,309.0,0.0
2019-12-27,0.0,270.0,0.0
2019-12-28,0.0,301.0,0.0
2019-12-29,0.0,289.0,0.0
2019-12-30,0.0,281.0,0.0
2019-12-31,0.0,283.0,0.0
2020-01-01,0.0,302.0,0.0
2020-01-02,0.0,250.0,0.0
2020-01-03,0.0,226.0,0.0
2020-01-04,0.0,295.0,0.0
2020-01-05,0.0,297.0,0.0
2020-01-06,0.0,313.0,0.0
2020-01-07,0.0,285.0,0.0
2020-01-08,0.0,288.0,0.0
2020-01-09,0.0,272.0,0.0
2020-01-10,0.0,270.0,0.0
2020-01-11,0.0,267.0,0.0
2020-01-12,0.0,299.0,0.0
2020-01-13,0.0,269.0,0.0
2020-01-14,0.0,231.0,0.0
2020-01-15,0.0,78.0,0.0
2020-01-16,0.0,302.0,0.0
2020-01-17,0.0,284.0,0.0
2020-01-18,0.0,313.0,0.0
2020-01-19,0.0,296.0,0.0
2020-01-20,0.0,285.0,0.0
2020-01-21,0.0,277.0,0.0
2020-01-22,0.0,288.0,0.0
2020-01-23,0.0,256.0,0.0
2020-01-24,0.0,281.0,0.0
2020-01-25,0.0,310.0,0.0
2020-01-26,0.0,293.0,0.0
2020-01-27,0.0,275.0,0.0
2020-01-28,0.0,267.0,0.0
2020-01-29,0.0,274.0,0.0
2020-01-30,0.0,282.0,0.0
2020-01-31,0.0,280.0,0.0
2020-02-01,0.0,298.0,0.0
2020-02-02,0.0,308.0,0.0
2020-02-03,0.0,264.0,0.0
2020-02-04,0.0,271.0,0.0
2020-02-05,0.0,248.0,0.0
2020-02-06,0.0,261.0,0.0
2020-02-07,0.0,242.0,0.0
2020-02-08,0.0,240.0,0.0
2020-02-09,0.0,247.0,0.0
2020-02-10,0.0,201.0,0.0
2020-02-11,0.0,232.0,0.0
2020-02-12,0.0,250.0,0.0
2020-02-13,0.0,195.0,0.0
2020-02-14,0.0,211.0,0.0
2020-02-15,0.0,231.0,0.0
2020-02-16,0.0,231.0,0.0
2020-02-17,0.0,206.0,0.0
2020-02-18,0.0,224.0,0.0
2020-02-19,0.0,188.0,0.0
2020-02-20,0.0,220.0,0.0
2020-02-21,0.0,220.0,0.0
2020-02-22,0.0,246.0,0.0
2020-02-23,0.0,240.0,0.0
2020-02-24,0.0,206.0,0.0
2020-02-25,0.0,210.0,0.0
2020-02-26,0.0,203.0,0.0
2020-02-27,0.0,201.0,0.0
2020-02-28,0.0,205.0,0.0
2020-02-29,0.0,256.0,0.0
2020-03-01,0.0,249.0,0.0
2020-03-02,0.0,217.0,0.0
2020-03-03,0.0,181.0,0.0
2020-03-04,0.0,204.0,0.0
2020-03-05,0.0,197.0,0.0
2020-03-06,0.0,208.0,0.0
2020-03-07,0.0,245.0,0.0
2020-03-08,0.0,253.0,0.0
2020-03-09,0.0,195.0,0.0
2020-03-10,0.0,206.0,0.0
2020-03-11,0.0,214.0,0.0
2020-03-12,0.0,233.0,0.0
2020-03-13,0.0,241.0,0.0
2020-03-14,0.0,279.0,0.0
2020-03-15,0.0,271.0,0.0
2020-03-16,0.0,268.0,0.0
2020-03-17,0.0,275.0,0.0
2020-03-18,0.0,266.0,0.0
2020-03-19,0.0,277.0,0.0
2020-03-20,0.0,273.0,0.0
2020-03-21,0.0,281.0,0.0
2020-03-22,0.0,267.0,0.0
2020-03-23,0.0,271.0,0.0
2020-03-24,0.0,275.0,0.0
2020-03-25,0.0,253.0,0.0
2020-03-26,0.0,251.0,0.0
2020-03-27,0.0,260.0,0.0
2020-03-28,0.0,296.0,0.0
2020-03-29,0.0,285.0,0.0
2020-03-30,0.0,271.0,0.0
2020-03-31,0.0,256.0,0.0
2020-04-01,0.0,250.0,0.0
2020-04-02,0.0,285.0,0.0
2020-04-03,0.0,261.0,0.0
2020-04-04,0.0,274.0,0.0
2020-04-05,0.0,268.0,0.0
2020-04-06,0.0,248.0,0.0
2020-04-07,0.0,248.0,0.0
2020-04-08,0.0,247.0,0.0
2020-04-09,0.0,240.0,0.0
2020-04-10,0.0,258.0,0.0
2020-04-11,0.0,273.0,0.0
2020-04-12,0.0,268.0,0.0
2020-04-13,0.0,179.0,0.0
2020-04-14,0.0,217.0,0.0
2020-04-15,0.0,256.0,0.0
2020-04-16,0.0,215.0,0.0
2020-04-17,0.0,241.0,0.0
2020-04-18,0.0,280.0,0.0
2020-04-19,0.0,251.0,0.0
2020-04-20,0.0,202.0,0.0
2020-04-21,0.0,215.0,0.0
2020-04-22,0.0,206.0,0.0
2020-04-23,0.0,206.0,0.0
2020-04-24,0.0,231.0,0.0
2020-04-25,0.0,244.0,0.0
2020-04-26,0.0,235.0,0.0
2020-04-27,0.0,228.0,0.0
2020-04-28,0.0,224.0,0.0
2020-04-29,0.0,201.0,0.0
2020-04-30,0.0,208.0,0.0
2020-05-01,0.0,240.0,0.0
2020-05-02,0.0,245.0,0.0
2020-05-03,0.0,242.0,0.0
2020-05-04,0.0,218.0,0.0
2020-05-05,0.0,225.0,0.0
2020-05-06,0.0,236.0,0.0
2020-05-07,0.0,254.0,0.0
2020-05-08,0.0,255.0,0.0
2020-05-09,0.0,306.0,0.0
2020-05-10,0.0,289.0,0.0
2020-05-11,0.0,261.0,0.0
2020-05-12,0.0,244.0,0.0
2020-05-13,0.0,217.0,0.0
2020-05-14,0.0,198.0,0.0
2020-05-15,0.0,216.0,0.0
2020-05-16,0.0,250.0,0.0
2020-05-17,0.0,244.0,0.0
2020-05-18,0.0,233.0,0.0
2020-05-19,0.0,239.0,0.0
2020-05-20,0.0,234.0,0.0
2020-05-21,0.0,244.0,0.0
2020-05-22,0.0,255.0,0.0
2020-05-23,0.0,286.0,0.0
2020-05-24,0.0,279.0,0.0
2020-05-25,0.0,240.0,0.0
2020-05-26,0.0,247.0,0.0
2020-05-27,0.0,248.0,0.0
2020-05-28,0.0,242.0,0.0
2020-05-29,0.0,251.0,0.0
2020-05-30,0.0,282.0,0.0
2020-05-31,0.0,281.0,0.0
2020-06-01,0.0,277.0,0.0
2020-06-02,0.0,276.0,0.0
2020-06-03,0.0,245.0,0.0
2020-06-04,0.0,245.0,0.0
2020-06-05,0.0,231.0,0.0
2020-06-06,0.0,283.0,0.0
2020-06-07,0.0,279.0,0.0
2020-06-08,0.0,256.0,0.0
2020-06-09,0.0,237.0,0.0
2020-06-10,0.0,232.0,0.0
2020-06-11,0.0,244.0,0.0
2020-06-12,0.0,246.0,0.0
2020-06-13,0.0,269.0,0.0
2020-06-14,0.0,219.0,0.0
2020-06-15,0.0,229.0,0.0
2020-06-16,0.0,241.0,0.0
2020-06-17,0.0,256.0,0.0
2020-06-18,0.0,231.0,0.0
2020-06-19,0.0,237.0,0.0
2020-06-20,0.0,264.0,0.0
2020-06-21,0.0,284.0,0.0
2020-06-22,0.0,276.0,0.0
2020-06-23,0.0,246.0,0.0
2020-06-24,0.0,232.0,0.0
2020-06-25,0.0,205.0,0.0
2020-06-26,0.0,220.0,0.0
2020-06-27,0.0,277.0,0.0
2020-06-28,0.0,266.0,0.0
2020-06-29,0.0,240.0,0.0
2020-06-30,0.0,202.0,0.0
2020-07-01,0.0,218.0,0.0
2020-07-02,0.0,214.0,0.0
2020-07-03,0.0,236.0,0.0
2020-07-04,0.0,259.0,0.0
2020-07-05,0.0,256.0,0.0
2020-07-06,0.0,233.0,0.0
2020-07-07,0.0,231.0,0.0
2020-07-08,0.0,245.0,0.0
2020-07-09,0.0,229.0,0.0
2020-07-10,0.0,244.0,0.0
2020-07-11,0.0,274.0,0.0
2020-07-12,0.0,265.0,0.0
2020-07-13,0.0,242.0,0.0
2020-07-14,0.0,247.0,0.0
2020-07-15,0.0,238.0,0.0
2020-07-16,0.0,258.0,0.0
