,DE_LU_GAS,FR_GAS,IT_NORD_GAS,ES_GAS
2019-01-01,272175.0,67477.0,91856.0,153026.0
2019-01-02,444480.0,148704.0,153934.0,161404.0
2019-01-03,800507.0,166586.0,194751.0,211139.0
2019-01-04,660543.0,176365.0,211682.0,250097.0
2019-01-05,528058.0,182532.0,166382.0,180465.0
2019-01-06,628953.0,174383.0,130085.0,134574.0
2019-01-07,754301.0,177080.0,246381.0,185983.0
2019-01-08,506546.0,160674.0,259313.0,196242.0
2019-01-09,636850.0,177295.0,244369.0,159498.0
2019-01-10,988581.0,199612.0,252539.0,179758.0
2019-01-11,850700.0,197490.0,259258.0,210733.0
2019-01-12,503684.0,161730.0,174531.0,160757.0
2019-01-13,319961.0,73513.0,131183.0,147133.0
2019-01-14,586548.0,169049.0,228113.0,217197.0
2019-01-15,653299.0,192962.0,254644.0,270131.0
2019-01-16,705047.0,194127.0,262909.0,267783.0
2019-01-17,652081.0,183615.0,262635.0,237148.0
2019-01-18,905751.0,204071.0,255368.0,256247.0
2019-01-19,722768.0,202439.0,185928.0,169114.0
2019-01-20,745952.0,198721.0,165046.0,125654.0
2019-01-21,1055792.0,205150.0,268017.0,211967.0
2019-01-22,1009827.0,202614.0,284620.0,196944.0
2019-01-23,1142813.0,200060.0,281892.0,117345.0
2019-01-24,1191748.0,207257.0,298226.0,167314.0
2019-01-25,1068928.0,205151.0,260374.0,174496.0
2019-01-26,584541.0,175347.0,172060.0,134301.0
2019-01-27,450083.0,85802.0,130718.0,89230.0
2019-01-28,761289.0,181185.0,231494.0,122007.0
2019-01-29,962421.0,201441.0,246176.0,162909.0
2019-01-30,919094.0,194859.0,265845.0,163682.0
2019-01-31,963566.0,195729.0,244577.0,111647.0
2019-02-01,943504.0,180890.0,229788.0,109124.0
2019-02-02,717996.0,171024.0,138201.0,102668.0
2019-02-03,677528.0,143177.0,101104.0,116842.0
2019-02-04,730288.0,195122.0,226661.0,207223.0
2019-02-05,963555.0,196243.0,237515.0,212095.0
2019-02-06,913527.0,183301.0,217156.0,209759.0
2019-02-07,627107.0,154945.0,227075.0,199508.0
2019-02-08,532793.0,112878.0,228380.0,177166.0
2019-02-09,290730.0,62487.0,148199.0,128102.0
2019-02-10,324010.0,62808.0,101251.0,92445.0
2019-02-11,499091.0,156554.0,191640.0,196676.0
2019-02-12,774006.0,194125.0,206598.0,218805.0
2019-02-13,792927.0,189938.0,215490.0,219042.0
2019-02-14,783093.0,197899.0,217459.0,185453.0
2019-02-15,704443.0,196339.0,209906.0,191092.0
2019-02-16,445577.0,113110.0,129238.0,107975.0
2019-02-17,434934.0,69154.0,94965.0,98633.0
2019-02-18,614253.0,167296.0,188423.0,179325.0
2019-02-19,616987.0,191058.0,226349.0,216664.0
2019-02-20,716834.0,193332.0,243773.0,206317.0
2019-02-21,686215.0,181296.0,235846.0,182361.0
2019-02-22,697717.0,184821.0,203093.0,155451.0
2019-02-23,447681.0,89847.0,120844.0,122984.0
2019-02-24,454769.0,97187.0,85763.0,121898.0
2019-02-25,678802.0,177307.0,196910.0,160313.0
2019-02-26,712592.0,187612.0,212606.0,142323.0
2019-02-27,646062.0,162183.0,189186.0,139176.0
2019-02-28,465070.0,85357.0,210398.0,142748.0
2019-03-01,629636.0,145208.0,188475.0,141516.0
2019-03-02,465659.0,74126.0,123834.0,117733.0
2019-03-03,271094.0,63189.0,112222.0,108987.0
2019-03-04,433020.0,65856.0,190411.0,123340.0
2019-03-05,515672.0,88399.0,218345.0,140964.0
2019-03-06,470497.0,72286.0,228494.0,98817.0
2019-03-07,437770.0,64803.0,227242.0,156483.0
2019-03-08,456739.0,78720.0,218624.0,181884.0
2019-03-09,344895.0,62176.0,120587.0,135794.0
2019-03-10,373972.0,61878.0,115853.0,107974.0
2019-03-11,444977.0,88211.0,193861.0,156849.0
2019-03-12,424899.0,79894.0,211450.0,142263.0
2019-03-13,382899.0,64940.0,241671.0,109779.0
2019-03-14,387536.0,73821.0,235315.0,160958.0
2019-03-15,399102.0,65953.0,221391.0,183183.0
2019-03-16,307467.0,61348.0,135557.0,130978.0
2019-03-17,246879.0,61788.0,140734.0,99787.0
2019-03-18,455455.0,138512.0,198886.0,142907.0
2019-03-19,740925.0,190118.0,245471.0,119181.0
2019-03-20,688182.0,191288.0,236583.0,152304.0
2019-03-21,671080.0,169941.0,207314.0,171464.0
2019-03-22,664240.0,175328.0,186487.0,175630.0
2019-03-23,441753.0,82221.0,104220.0,153673.0
2019-03-24,382381.0,64517.0,103030.0,132896.0
2019-03-25,411548.0,85319.0,174092.0,125649.0
2019-03-26,491891.0,111620.0,203030.0,99664.0
2019-03-27,653551.0,158729.0,197129.0,129325.0
2019-03-28,716719.0,173749.0,182141.0,164289.0
2019-03-29,635540.0,144141.0,167803.0,176874.0
2019-03-30,353760.0,76244.0,107186.0,173902.0
2019-03-31,299586.0,59310.0,100554.0,179050.0
2019-04-01,501471.0,66497.0,201087.0,240250.0
2019-04-02,451779.0,59297.0,229929.0,219973.0
2019-04-03,709607.0,124231.0,234572.0,154151.0
2019-04-04,803574.0,131307.0,233077.0,192145.0
2019-04-05,755367.0,131005.0,199827.0,173145.0
2019-04-06,389285.0,58009.0,129601.0,104810.0
2019-04-07,355171.0,21345.0,118900.0,116374.0
2019-04-08,577251.0,104669.0,185370.0,190524.0
2019-04-09,635196.0,87778.0,204284.0,157915.0
2019-04-10,664359.0,76576.0,196278.0,174553.0
2019-04-11,687063.0,76152.0,214604.0,196537.0
2019-04-12,727818.0,135264.0,194906.0,192094.0
2019-04-13,510742.0,58472.0,135150.0,172963.0
2019-04-14,414749.0,56645.0,116077.0,150186.0
2019-04-15,468787.0,106303.0,165547.0,153003.0
2019-04-16,577769.0,138092.0,190259.0,206742.0
2019-04-17,621752.0,122333.0,187422.0,146373.0
2019-04-18,415780.0,75874.0,161561.0,184915.0
2019-04-19,291905.0,27262.0,128319.0,127384.0
2019-04-20,316858.0,19709.0,87860.0,106074.0
2019-04-21,245076.0,18932.0,74124.0,137196.0
2019-04-22,197568.0,18540.0,81101.0,185655.0
2019-04-23,322348.0,21505.0,185167.0,151052.0
2019-04-24,333382.0,19567.0,169113.0,104440.0
2019-04-25,447720.0,19632.0,110028.0,105109.0
2019-04-26,488424.0,47268.0,131222.0,160508.0
2019-04-27,303571.0,18145.0,73097.0,155975.0
2019-04-28,335963.0,23758.0,80894.0,137874.0
2019-04-29,516665.0,87598.0,175855.0,206496.0
2019-04-30,510519.0,92072.0,172591.0,201816.0
2019-05-01,293595.0,17861.0,97966.0,133148.0
2019-05-02,422105.0,62651.0,158751.0,151774.0
2019-05-03,544208.0,84951.0,184769.0,174535.0
2019-05-04,354506.0,24127.0,130179.0,141607.0
2019-05-05,314630.0,24037.0,91224.0,129118.0
2019-05-06,479957.0,98714.0,157227.0,235473.0
2019-05-07,562442.0,99253.0,176823.0,219252.0
2019-05-08,510725.0,38830.0,198688.0,123554.0
2019-05-09,534475.0,92247.0,180399.0,172173.0
2019-05-10,559783.0,104004.0,174797.0,186662.0
2019-05-11,381024.0,19621.0,110850.0,182367.0
2019-05-12,269743.0,18399.0,82002.0,123508.0
2019-05-13,406683.0,70607.0,181210.0,185753.0
2019-05-14,429185.0,88871.0,173425.0,228653.0
2019-05-15,466711.0,83134.0,172099.0,235999.0
2019-05-16,518282.0,92679.0,176589.0,215048.0
2019-05-17,489910.0,91230.0,178188.0,154195.0
2019-05-18,370987.0,31106.0,117345.0,183509.0
2019-05-19,297521.0,14859.0,95905.0,187236.0
2019-05-20,539528.0,79994.0,158943.0,250568.0
2019-05-21,466911.0,81219.0,148278.0,253386.0
2019-05-22,460155.0,84888.0,134214.0,274677.0
2019-05-23,476694.0,83382.0,128878.0,265751.0
2019-05-24,460670.0,83888.0,119593.0,213516.0
2019-05-25,408292.0,54748.0,70576.0,164742.0
2019-05-26,247258.0,15382.0,63520.0,160392.0
2019-05-27,466752.0,49065.0,125481.0,224621.0
2019-05-28,587694.0,70466.0,120659.0,208943.0
2019-05-29,541710.0,73209.0,120215.0,211830.0
2019-05-30,229806.0,15850.0,120913.0,252640.0
2019-05-31,374979.0,42811.0,96262.0,260761.0
2019-06-01,282593.0,20770.0,59087.0,243412.0
2019-06-02,197403.0,17077.0,55872.0,233065.0
2019-06-03,508628.0,81258.0,103648.0,282321.0
2019-06-04,536762.0,86769.0,125910.0,259403.0
2019-06-05,530333.0,83022.0,121752.0,235343.0
2019-06-06,550689.0,58763.0,112539.0,207110.0
2019-06-07,445762.0,29403.0,123563.0,223370.0
2019-06-08,175324.0,12978.0,81400.0,222097.0
2019-06-09,258692.0,14316.0,85024.0,192968.0
2019-06-10,318470.0,25779.0,148664.0,201935.0
2019-06-11,569166.0,98511.0,172602.0,208663.0
2019-06-12,652131.0,96960.0,172797.0,237317.0
2019-06-13,565725.0,73958.0,159221.0,234432.0
2019-06-14,611314.0,84141.0,131498.0,232132.0
2019-06-15,405250.0,15271.0,95896.0,214329.0
2019-06-16,394418.0,14491.0,66650.0,202976.0
2019-06-17,621014.0,64476.0,158060.0,281654.0
2019-06-18,677749.0,69847.0,185765.0,218355.0
2019-06-19,683467.0,73870.0,180727.0,272300.0
2019-06-20,648155.0,81149.0,162179.0,260359.0
2019-06-21,645370.0,87780.0,187856.0,259456.0
2019-06-22,377141.0,17001.0,98565.0,228446.0
2019-06-23,280681.0,11991.0,59734.0,176795.0
2019-06-24,547510.0,65577.0,141792.0,261094.0
2019-06-25,626544.0,89081.0,177799.0,290818.0
2019-06-26,577958.0,79012.0,193997.0,258986.0
2019-06-27,610281.0,77288.0,219255.0,272765.0
2019-06-28,667012.0,90867.0,214198.0,316151.0
2019-06-29,493492.0,48515.0,121238.0,280975.0
2019-06-30,277622.0,25724.0,100358.0,229764.0
2019-07-01,596586.0,77951.0,187735.0,289842.0
2019-07-02,658571.0,90638.0,196308.0,297391.0
2019-07-03,674366.0,65843.0,215103.0,297761.0
2019-07-04,573214.0,70904.0,205744.0,301807.0
2019-07-05,626403.0,86922.0,212095.0,310148.0
2019-07-06,297417.0,29530.0,126159.0,283843.0
2019-07-07,284528.0,19205.0,95192.0,247700.0
2019-07-08,598924.0,80230.0,204785.0,282743.0
2019-07-09,662864.0,90622.0,223654.0,287665.0
2019-07-10,737832.0,103579.0,189520.0,313345.0
2019-07-11,795140.0,104399.0,182201.0,325495.0
2019-07-12,737234.0,100341.0,195678.0,339790.0
2019-07-13,338631.0,48127.0,124828.0,263734.0
2019-07-14,286084.0,32665.0,73040.0,220413.0
2019-07-15,663855.0,85684.0,166682.0,284622.0
2019-07-16,706480.0,103347.0,175737.0,290879.0
2019-07-17,714141.0,121851.0,205364.0,292853.0
2019-07-18,772057.0,122747.0,224069.0,321113.0
2019-07-19,800614.0,125543.0,186299.0,320088.0
2019-07-20,473282.0,72796.0,122990.0,292471.0
2019-07-21,380728.0,65100.0,106957.0,253978.0
2019-07-22,708861.0,112439.0,187374.0,314334.0
2019-07-23,744505.0,118409.0,225576.0,337305.0
2019-07-24,764543.0,117044.0,226581.0,359137.0
2019-07-25,786509.0,92909.0,245365.0,339248.0
2019-07-26,686478.0,109808.0,242333.0,333083.0
2019-07-27,477248.0,110895.0,152290.0,234269.0
2019-07-28,434241.0,56834.0,85628.0,239061.0
2019-07-29,750156.0,112694.0,204932.0,282489.0
2019-07-30,769943.0,70098.0,198706.0,282278.0
2019-07-31,769446.0,84131.0,212794.0,293111.0
2019-08-01,803133.0,104533.0,213066.0,339684.0
2019-08-02,787835.0,90114.0,183443.0,337954.0
2019-08-03,581162.0,67849.0,116319.0,306089.0
2019-08-04,459330.0,36224.0,90356.0,267762.0
2019-08-05,733117.0,80276.0,166405.0,327024.0
2019-08-06,782654.0,79929.0,178987.0,336452.0
2019-08-07,785381.0,83076.0,164951.0,338112.0
2019-08-08,628401.0,82440.0,162054.0,295225.0
2019-08-09,761720.0,39893.0,148989.0,258668.0
2019-08-10,235313.0,14296.0,128118.0,271149.0
2019-08-11,287083.0,16994.0,124099.0,218122.0
2019-08-12,719124.0,43218.0,136970.0,244639.0
2019-08-13,729691.0,57726.0,117397.0,273762.0
2019-08-14,710647.0,29036.0,87057.0,286639.0
2019-08-15,489292.0,17860.0,78888.0,247848.0
2019-08-16,571752.0,34902.0,87718.0,280982.0
2019-08-17,295402.0,21610.0,92820.0,249918.0
2019-08-18,282146.0,21946.0,92334.0,206083.0
2019-08-19,617885.0,64273.0,138404.0,258791.0
2019-08-20,742989.0,83818.0,172549.0,250529.0
2019-08-21,706694.0,89002.0,172717.0,294413.0
2019-08-22,624435.0,71086.0,167682.0,295989.0
2019-08-23,610522.0,68412.0,170028.0,302204.0
2019-08-24,395355.0,47883.0,142732.0,288501.0
2019-08-25,394712.0,45062.0,141242.0,225234.0
2019-08-26,698665.0,98751.0,220185.0,318519.0
2019-08-27,794660.0,105502.0,232573.0,380034.0
2019-08-28,790786.0,101880.0,244186.0,376778.0
2019-08-29,798227.0,103971.0,251893.0,358960.0
2019-08-30,748614.0,107538.0,247059.0,350440.0
2019-08-31,455982.0,79388.0,180041.0,277797.0
2019-09-01,458464.0,63290.0,158548.0,208016.0
2019-09-02,705283.0,97844.0,229358.0,233369.0
2019-09-03,743116.0,99297.0,226525.0,316633.0
2019-09-04,733699.0,109664.0,212253.0,298473.0
2019-09-05,674383.0,109663.0,228034.0,196520.0
2019-09-06,711100.0,113118.0,219450.0,196408.0
2019-09-07,577108.0,117287.0,147384.0,170421.0
2019-09-08,562680.0,90449.0,107684.0,198281.0
2019-09-09,708752.0,118785.0,196035.0,281649.0
2019-09-10,619721.0,117538.0,225534.0,144093.0
2019-09-11,595344.0,97537.0,223106.0,148509.0
2019-09-12,725127.0,108351.0,213376.0,222465.0
2019-09-13,740997.0,107267.0,208767.0,220009.0
2019-09-14,586377.0,87045.0,131818.0,185923.0
2019-09-15,369929.0,39430.0,113989.0,201841.0
2019-09-16,768910.0,110899.0,197604.0,327943.0
2019-09-17,592103.0,111854.0,199351.0,324530.0
2019-09-18,716486.0,99263.0,209422.0,333045.0
2019-09-19,839405.0,107930.0,192912.0,333305.0
2019-09-20,839433.0,102373.0,156118.0,313186.0
2019-09-21,584851.0,63338.0,105818.0,205337.0
2019-09-22,526287.0,41071.0,104744.0,194551.0
2019-09-23,806558.0,104949.0,164139.0,279557.0
2019-09-24,862353.0,100665.0,177435.0,263859.0
2019-09-25,850859.0,100955.0,177288.0,295145.0
2019-09-26,845679.0,95359.0,174395.0,305826.0
2019-09-27,735584.0,76812.0,172014.0,310892.0
2019-09-28,275923.0,32881.0,110567.0,276589.0
2019-09-29,218803.0,14758.0,97238.0,197593.0
2019-09-30,507665.0,80441.0,150237.0,292607.0
2019-10-01,835017.0,86052.0,174401.0,250133.0
2019-10-02,818287.0,96016.0,163141.0,258036.0
2019-10-03,781229.0,101607.0,178274.0,270175.0
2019-10-04,778034.0,84437.0,165634.0,287209.0
2019-10-05,643442.0,95669.0,129975.0,265457.0
2019-10-06,584646.0,48727.0,111913.0,217465.0
2019-10-07,852951.0,104742.0,135889.0,294068.0
2019-10-08,778288.0,100199.0,159701.0,289969.0
2019-10-09,728989.0,96785.0,188856.0,284171.0
2019-10-10,648044.0,91714.0,198711.0,299362.0
2019-10-11,434304.0,85481.0,198075.0,290595.0
2019-10-12,400290.0,52218.0,163455.0,168526.0
2019-10-13,342309.0,18605.0,144109.0,150310.0
2019-10-14,824818.0,102555.0,217930.0,210799.0
2019-10-15,926239.0,119069.0,218990.0,261336.0
2019-10-16,895016.0,110759.0,191480.0,246426.0
2019-10-17,925596.0,115754.0,213111.0,267297.0
2019-10-18,777986.0,108201.0,210044.0,264834.0
2019-10-19,708536.0,109204.0,143859.0,209362.0
2019-10-20,756759.0,111153.0,108640.0,205394.0
2019-10-21,942015.0,120802.0,185829.0,293462.0
2019-10-22,951983.0,118934.0,207320.0,260957.0
2019-10-23,954097.0,113994.0,188020.0,245552.0
2019-10-24,861179.0,101497.0,208995.0,230272.0
2019-10-25,736057.0,91180.0,201785.0,247252.0
2019-10-26,306460.0,32228.0,114745.0,216972.0
2019-10-27,393869.0,78068.0,99599.0,227890.0
2019-10-28,888187.0,131769.0,210620.0,262095.0
2019-10-29,978452.0,140263.0,220131.0,275974.0
2019-10-30,929106.0,140820.0,218099.0,275522.0
2019-10-31,907102.0,140204.0,201565.0,234602.0
2019-11-01,640847.0,128000.0,132256.0,123644.0
2019-11-02,356852.0,73289.0,87789.0,110362.0
2019-11-03,454158.0,73027.0,73018.0,93752.0
2019-11-04,779782.0,141516.0,141770.0,131688.0
2019-11-05,907420.0,165527.0,180079.0,167983.0
2019-11-06,892181.0,178423.0,198179.0,255177.0
2019-11-07,809842.0,184185.0,196361.0,194999.0
2019-11-08,833909.0,188203.0,171223.0,177669.0
2019-11-09,615689.0,168010.0,89557.0,167824.0
2019-11-10,584876.0,150951.0,87481.0,126166.0
2019-11-11,653217.0,170403.0,174605.0,228121.0
2019-11-12,752772.0,184049.0,154868.0,247277.0
2019-11-13,878745.0,188743.0,195311.0,247509.0
2019-11-14,881613.0,201216.0,195253.0,233264.0
2019-11-15,670862.0,200645.0,196081.0,261624.0
2019-11-16,601826.0,196479.0,150085.0,223652.0
2019-11-17,523612.0,188156.0,113933.0,176492.0
2019-11-18,773697.0,204796.0,202854.0,278346.0
2019-11-19,871515.0,208600.0,236650.0,332056.0
2019-11-20,1003155.0,208111.0,224465.0,327617.0
2019-11-21,991829.0,200036.0,218824.0,313055.0
2019-11-22,832038.0,183409.0,191036.0,194460.0
2019-11-23,398037.0,124208.0,125800.0,124820.0
2019-11-24,485527.0,120645.0,115361.0,145115.0
2019-11-25,923921.0,176434.0,194024.0,235910.0
2019-11-26,836916.0,171530.0,175862.0,193721.0
2019-11-27,530153.0,128238.0,177303.0,143935.0
2019-11-28,411849.0,154588.0,147871.0,161613.0
2019-11-29,551744.0,172659.0,156600.0,255442.0
2019-11-30,622361.0,160464.0,99140.0,156746.0
2019-12-01,666967.0,166009.0,80320.0,151622.0
2019-12-02,895660.0,194801.0,192089.0,174454.0
2019-12-03,951586.0,210663.0,231586.0,242229.0
2019-12-04,913853.0,214729.0,229323.0,255096.0
2019-12-05,863469.0,207438.0,237860.0,223851.0
2019-12-06,504701.0,195795.0,225171.0,239421.0
2019-12-07,378689.0,175292.0,128931.0,233340.0
2019-12-08,264662.0,66664.0,89634.0,167222.0
2019-12-09,514673.0,141408.0,184397.0,191970.0
2019-12-10,744645.0,191431.0,196627.0,248865.0
2019-12-11,881745.0,194775.0,184220.0,203235.0
2019-12-12,898620.0,183345.0,210190.0,135499.0
2019-12-13,731285.0,150166.0,196442.0,108950.0
2019-12-14,382708.0,61001.0,123776.0,104564.0
2019-12-15,316143.0,69934.0,82258.0,115237.0
2019-12-16,796574.0,167999.0,172863.0,165549.0
2019-12-17,696777.0,138903.0,193607.0,208694.0
2019-12-18,777847.0,142991.0,193366.0,169168.0
2019-12-19,580502.0,84595.0,170083.0,105171.0
2019-12-20,455817.0,64682.0,119507.0,91542.0
2019-12-21,392166.0,56462.0,74872.0,89649.0
2019-12-22,362973.0,55590.0,68163.0,84332.0
2019-12-23,392099.0,56523.0,76848.0,113232.0
2019-12-24,383174.0,56741.0,62733.0,73122.0
2019-12-25,347627.0,57554.0,77484.0,102422.0
2019-12-26,421811.0,60875.0,82997.0,120409.0
2019-12-27,576097.0,117587.0,107462.0,141603.0
2019-12-28,615369.0,83004.0,90497.0,133028.0
2019-12-29,465966.0,67739.0,108630.0,137958.0
2019-12-30,453752.0,111650.0,114978.0,159092.0
2019-12-31,471238.0,160137.0,82662.0,168503.0
2020-01-01,460861.0,110609.0,96081.0,162230.0
2020-01-02,528261.0,170729.0,126821.0,193429.0
2020-01-03,436212.0,155458.0,150767.0,175041.0
2020-01-04,424425.0,148389.0,121097.0,135320.0
2020-01-05,554761.0,169108.0,101707.0,137485.0
2020-01-06,788033.0,176056.0,139964.0,157480.0
2020-01-07,847264.0,182071.0,197063.0,230399.0
2020-01-08,843630.0,175139.0,225865.0,222808.0
2020-01-09,721048.0,134021.0,238981.0,193181.0
2020-01-10,697240.0,155364.0,234958.0,169498.0
2020-01-11,645136.0,129296.0,172030.0,175018.0
2020-01-12,429227.0,83007.0,143871.0,183999.0
2020-01-13,790765.0,155559.0,246265.0,208468.0
2020-01-14,497210.0,115580.0,276527.0,146582.0
2020-01-15,454961.0,142141.0,277575.0,172295.0
2020-01-16,803543.0,157847.0,256746.0,159300.0
2020-01-17,798808.0,176279.0,251396.0,167072.0
2020-01-18,635272.0,191766.0,164494.0,135858.0
2020-01-19,703241.0,179007.0,156583.0,103731.0
2020-01-20,1116748.0,204116.0,240943.0,139640.0
2020-01-21,1175520.0,205277.0,275659.0,186026.0
